dteday,cnt,casual,registered,temp,hum,windspeed,ma_7,ma_30
2011-01-01,985,331,654,0.3441666666666667,0.8058333333333333,0.16044583333333332,,
2011-01-02,801,131,670,0.3634782608695652,0.696086956521739,0.24853913043478262,,
2011-01-03,1349,120,1229,0.19636363636363638,0.43727272727272726,0.2483090909090909,,
2011-01-04,1562,108,1454,0.19999999999999998,0.5904347826086956,0.16029565217391303,,
2011-01-05,1600,82,1518,0.22695652173913042,0.43695652173913047,0.1869,,
2011-01-06,1606,88,1518,0.20434782608695654,0.5182608695652174,0.08956521739130435,,
2011-01-07,1510,148,1362,0.1965217391304348,0.498695652173913,0.16872608695652175,1344.7142857142858,
2011-01-08,959,68,891,0.165,0.5358333333333333,0.2668041666666667,1341.0,
2011-01-09,822,54,768,0.13833333333333334,0.43416666666666665,0.36195,1344.0,
2011-01-10,1321,41,1280,0.15083333333333335,0.48291666666666666,0.2232666666666667,1340.0,
2011-01-11,1263,43,1220,0.1690909090909091,0.6863636363636364,0.12213181818181819,1297.2857142857142,
2011-01-12,1162,25,1137,0.17272727272727273,0.5995454545454545,0.30462727272727275,1234.7142857142858,
2011-01-13,1406,38,1368,0.165,0.47041666666666665,0.301,1206.142857142857,
2011-01-14,1421,54,1367,0.16086956521739132,0.5378260869565217,0.12654782608695653,1193.4285714285713,
2011-01-15,1248,222,1026,0.2333333333333333,0.49875,0.1579625,1234.7142857142858,
2011-01-16,1204,251,953,0.2316666666666667,0.48374999999999996,0.18843333333333334,1289.2857142857142,
2011-01-17,1000,117,883,0.1758333333333333,0.5375,0.19401666666666664,1243.4285714285713,
2011-01-18,683,9,674,0.21666666666666667,0.8616666666666667,0.14677500000000002,1160.5714285714287,
2011-01-19,1650,78,1572,0.29217391304347823,0.7417391304347826,0.20831739130434782,1230.2857142857142,
2011-01-20,1927,83,1844,0.26166666666666666,0.5383333333333333,0.19590416666666666,1304.7142857142858,
2011-01-21,1543,75,1468,0.1775,0.45708333333333334,0.3532416666666667,1322.142857142857,
2011-01-22,981,93,888,0.0591304347826087,0.39999999999999997,0.1719695652173913,1284.0,
2011-01-23,986,150,836,0.0965217391304348,0.43652173913043474,0.2466,1252.857142857143,
2011-01-24,1416,86,1330,0.0973913043478261,0.4917391304347826,0.1583304347826087,1312.2857142857142,
2011-01-25,1985,186,1799,0.2234782608695652,0.6169565217391304,0.12979565217391303,1498.2857142857142,
2011-01-26,506,34,472,0.2175,0.8625,0.29385,1334.857142857143,
2011-01-27,431,15,416,0.195,0.6875,0.11383750000000001,1121.142857142857,
2011-01-28,1167,38,1129,0.2034782608695652,0.7930434782608696,0.1233,1067.4285714285713,
2011-01-29,1098,123,975,0.19652173913043477,0.6517391304347826,0.14536521739130434,1084.142857142857,
2011-01-30,1096,140,956,0.2165217391304348,0.7221739130434782,0.07398260869565218,1099.857142857143,1222.9333333333334
2011-01-31,1501,42,1459,0.18083333333333332,0.60375,0.18719166666666667,1112.0,1240.1333333333334
2011-02-01,1360,47,1313,0.19217391304347825,0.8295652173913044,0.05321304347826087,1022.7142857142857,1258.7666666666667
2011-02-02,1526,72,1454,0.26,0.7754166666666666,0.2643083333333333,1168.4285714285713,1264.6666666666667
2011-02-03,1550,61,1489,0.18695652173913044,0.43782608695652175,0.27775217391304347,1328.2857142857142,1264.2666666666667
2011-02-04,1708,88,1620,0.21130434782608698,0.5852173913043479,0.12783913043478262,1405.5714285714287,1267.8666666666666
2011-02-05,1005,100,905,0.2333333333333333,0.9291666666666667,0.16107916666666666,1392.2857142857142,1247.8333333333333
2011-02-06,1623,354,1269,0.28583333333333333,0.5683333333333334,0.1418,1467.5714285714287,1251.6
2011-02-07,1712,120,1592,0.27166666666666667,0.7383333333333333,0.045408333333333335,1497.7142857142858,1276.7
2011-02-08,1530,64,1466,0.22083333333333333,0.5379166666666667,0.36195,1522.0,1300.3
2011-02-09,1605,53,1552,0.13478260869565217,0.4947826086956522,0.18883913043478262,1533.2857142857142,1309.7666666666667
2011-02-10,1538,47,1491,0.14434782608695654,0.4373913043478261,0.22193478260869565,1531.5714285714287,1318.9333333333334
2011-02-11,1746,149,1597,0.1890909090909091,0.5063636363636363,0.10855000000000001,1537.0,1338.4
2011-02-12,1472,288,1184,0.2225,0.5441666666666667,0.20336666666666667,1603.7142857142858,1340.6
2011-02-13,1589,397,1192,0.3165217391304348,0.45739130434782604,0.26088260869565216,1598.857142857143,1346.2
2011-02-14,1913,208,1705,0.41500000000000004,0.3758333333333333,0.4179083333333333,1627.5714285714287,1368.3666666666666
2011-02-15,1815,140,1675,0.26608695652173914,0.31434782608695655,0.29137391304347826,1668.2857142857142,1388.7333333333333
2011-02-16,2115,218,1897,0.31826086956521743,0.42347826086956525,0.2517913043478261,1741.142857142857,1425.9
