instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,datetime,year,month,day,day_of_week,week_of_year,season_label,weather_label,weekday_label,time_of_day,is_rush_hour,temp_category,temp_celsius,atemp_celsius,usage_period
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,2011-01-01 00:00:00,2011,1,1,5,52,Spring,Clear,Saturday,Night,0,Cold,1.8399999999999999,-1.6050000000000004,Off-Peak
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,2011-01-01 01:00:00,2011,1,1,5,52,Spring,Clear,Saturday,Night,0,Cold,1.0199999999999996,-2.365,Off-Peak
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,2011-01-01 02:00:00,2011,1,1,5,52,Spring,Clear,Saturday,Night,0,Cold,1.0199999999999996,-2.365,Off-Peak
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,2011-01-01 03:00:00,2011,1,1,5,52,Spring,Clear,Saturday,Night,0,Cold,1.8399999999999999,-1.6050000000000004,Off-Peak
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,2011-01-01 04:00:00,2011,1,1,5,52,Spring,Clear,Saturday,Night,0,Cold,1.8399999999999999,-1.6050000000000004,Off-Peak
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,2011-01-01 05:00:00,2011,1,1,5,52,Spring,Mist,Saturday,Night,0,Cold,1.8399999999999999,-3.120000000000001,Off-Peak
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,2011-01-01 06:00:00,2011,1,1,5,52,Spring,Clear,Saturday,Morning,0,Cold,1.0199999999999996,-2.365,Off-Peak
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,2011-01-01 07:00:00,2011,1,1,5,52,Spring,Clear,Saturday,Morning,1,Cold,0.20000000000000107,-3.120000000000001,Peak
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,2011-01-01 08:00:00,2011,1,1,5,52,Spring,Clear,Saturday,Morning,1,Cold,1.8399999999999999,-1.6050000000000004,Peak
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,2011-01-01 09:00:00,2011,1,1,5,52,Spring,Clear,Saturday,Morning,0,Moderate,5.120000000000001,1.4249999999999972,Off-Peak
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,2011-01-01 10:00:00,2011,1,1,5,52,Spring,Clear,Saturday,Morning,0,Moderate,7.58,3.6950000000000003,Off-Peak
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,2011-01-01 11:00:00,2011,1,1,5,52,Spring,Clear,Saturday,Morning,0,Moderate,6.76,0.6649999999999991,Off-Peak
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,2011-01-01 12:00:00,2011,1,1,5,52,Spring,Clear,Saturday,Afternoon,0,Moderate,9.219999999999999,5.210000000000001,Off-Peak
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,2011-01-01 13:00:00,2011,1,1,5,52,Spring,Mist,Saturday,Afternoon,0,Moderate,10.86,6.725000000000001,Off-Peak
